t,y_real,y_pred
0.8333333,-2.072447,-2.0050998
0.85,-2.072447,-2.0058932
0.8666667,-2.072447,-2.0069814
0.8833333,-2.072447,-2.0081892
0.9,-2.146529,-2.0093613
0.9166667,-2.146441,-2.0103378
0.9333333,-2.146338,-2.0109282
0.95,-2.146288,-2.0108805
0.9666667,-2.146249,-2.0098405
0.9833333,-2.146249,-2.0073063
0.0,-1.285266,-0.90192914
0.01666667,-1.285058,-0.90699863
0.03333333,-1.285063,-0.9126687
0.05,-1.314163,-0.9191561
0.06666667,-1.314054,-0.9267726
0.08333333,-1.313969,-0.9359569
0.1,-1.313909,-0.94730467
0.1166667,-1.31387,-0.96158814
0.1333333,-1.374685,-0.979738
0.15,-1.374746,-1.0027493
0.1666667,-1.374744,-1.0314661
0.1833333,-1.374736,-1.0662383
0.2,-1.374778,-1.1065472
0.2166667,-1.374831,-1.150825
0.2333333,-1.512591,-1.1967041
0.25,-1.512591,-1.2416862
0.2666667,-1.512591,-1.2838793
0.2833333,-1.512591,-1.3224114
0.3,-1.512591,-1.3573998
0.3166667,-1.589565,-1.3896406
0.3333333,-1.585486,-1.4202487
0.35,-1.586935,-1.4503653
0.3666667,-1.63637,-1.4809552
0.3833333,-1.636894,-1.5126745
0.4,-1.836094,-1.5458004
0.4166667,-1.836094,-1.5802355
0.4333333,-1.836094,-1.615622
0.45,-1.836094,-1.6515672
0.4666667,-1.836094,-1.6879251
0.4833333,-2.035004,-1.7250156
0.5,-2.035004,-1.7636404
0.5166667,-2.035004,-1.8047642
0.5333333,-2.035004,-1.8488529
0.55,-2.035004,-1.8950821
0.5666667,-2.035004,-1.9409482
0.5833333,-2.0697,-1.9827969
0.6,-2.06321,-2.0171027
0.6166667,-2.275445,-2.041637
0.6333333,-2.275445,-2.0558732
0.65,-2.312604,-2.060741
0.6666667,-2.312604,-2.0581748
0.6833333,-2.312604,-2.050661
0.7,-2.312604,-2.0407615
0.7166667,-2.312604,-2.030644
0.0,-1.066554,-0.90192914
0.01666667,-1.066184,-0.90699863
0.03333333,-1.086446,-0.9126687
0.05,-1.086363,-0.9191561
0.06666667,-1.086321,-0.9267726
0.08333333,-1.086295,-0.9359569
0.1,-1.086279,-0.94730467
0.1166667,-1.086256,-0.96158814
0.1333333,-1.141471,-0.979738
0.15,-1.141431,-1.0027493
0.1666667,-1.141374,-1.0314661
0.1833333,-1.141297,-1.0662383
0.2,-1.141236,-1.1065472
0.2166667,-1.274851,-1.150825
0.2333333,-1.274851,-1.1967041
0.25,-1.274851,-1.2416862
0.2666667,-1.274851,-1.2838793
0.2833333,-1.274851,-1.3224114
0.3,-1.363667,-1.3573998
0.3166667,-1.36406,-1.3896406
0.3333333,-1.364351,-1.4202487
0.35,-1.403756,-1.4503653
0.3666667,-1.403892,-1.4809552
