file,n,dt,g_newton,rmse_ay_newton
131.txt,30,0.01666669999999998,-10.389005254342676,369.8171300553025
132.txt,30,0.01666669999999998,-11.66068635566972,1010.749363617495
133.txt,34,0.01666669999999998,-9.68783972420563,434.5670976515514
134.txt,25,0.016666684999999994,-9.712199947282969,320.77604051385885
135.txt,27,0.016666684999999994,-7.832902857933692,307.7229652178186
136.txt,28,0.01666669999999998,-8.270488535295879,305.38148119554444
137.txt,35,0.01666669999999998,-9.97784054182574,382.9950819644375
138.txt,23,0.016666684999999994,-7.661475311528684,309.8491005964964
139.txt,31,0.01666669999999998,-7.577871790581201,335.5628604524891
140.txt,35,0.01666669999999998,-8.784074275438183,409.67703048558474
141.txt,23,0.016666684999999994,-10.94533315646312,283.40761146843386
142.txt,27,0.016666684999999994,-8.881954119192589,240.48126784882547
143.txt,29,0.01666669999999998,-8.682548666028012,303.54609799960326
144.txt,27,0.016666684999999994,-9.800894526405969,293.54314024422064
145.txt,26,0.01666669999999998,-11.594285643723264,279.80978942712755
146.txt,38,0.01666669999999998,-9.595425372169577,488.978995635514
147.txt,36,0.01666669999999998,-10.274984052067312,369.44160512161267
148.txt,22,0.01666667000000001,-11.976774194046001,253.98156134595976
149.txt,23,0.016666684999999994,-10.743310260847641,255.5840144057478
150.txt,31,0.01666669999999998,-7.832402600844055,245.73505678142865
151.txt,21,0.016666670000000005,-10.467214717387247,239.81385392082746
152.txt,41,0.01666669999999995,-9.359127698357801,510.1052088315729
153.txt,24,0.01666667000000001,16.670312728336945,2267.499836974179
154.txt,28,0.01666669999999998,-9.695875457507556,336.7577389759566
155.txt,26,0.01666669999999998,-7.701536551926079,256.9414002424945
156.txt,29,0.01666669999999998,-10.959847612296656,310.2583437689538
157.txt,25,0.016666684999999994,-7.266332938694152,277.37958445471315
158.txt,41,0.01666669999999995,-9.30433237882139,485.8497655783369
159.txt,38,0.01666669999999998,-9.481756088569607,330.67764522488335
160.txt,36,0.01666669999999998,-9.94603908244958,422.3492867012285
161.txt,33,0.01666669999999998,-10.211104180185256,495.05172332590314
162.txt,39,0.01666669999999995,-10.093384500732778,458.96105746985455
163.txt,28,0.01666669999999998,-8.720276705157406,349.8211779514495
164.txt,19,0.016666670000000005,-7.143075824245466,243.94570247530828
165.txt,22,0.01666667000000001,-8.342565705199593,242.2508610151288
166.txt,32,0.01666669999999998,-11.28436281375903,373.9360529777526
167.txt,37,0.01666669999999995,-9.12223716358002,345.00654515691787
168.txt,35,0.01666669999999998,-9.374927264767523,377.4367791539758
169.txt,25,0.016666684999999994,-6.442872660510789,320.62826423900304
170.txt,30,0.01666669999999998,-9.877867837636467,298.31322584512833
171.txt,33,0.01666669999999998,-9.477360392299676,319.6286963511755
172.txt,40,0.01666669999999998,-9.334424719138768,456.9393245482961
173.txt,23,0.016666684999999994,-8.677508470077491,418.19608156659086
174.txt,37,0.01666669999999995,-9.191088299417775,441.1265786973509
175.txt,41,0.01666669999999995,-9.183511815528377,475.2071017513598
176.txt,41,0.01666669999999995,-8.709711482005371,393.7442091363994
177.txt,34,0.01666669999999998,-9.203605497958849,368.52054425518656
178.txt,28,0.01666669999999998,-9.73821389608754,279.383050996688
179.txt,38,0.01666669999999998,-8.67725245899392,316.47235668195066
180.txt,23,0.016666684999999994,-9.196376154298187,248.03602312438048
181.txt,39,0.01666669999999995,-9.77664768606358,384.8851110661583
182.txt,38,0.01666669999999998,-9.188816897285669,295.45582288879683
183.txt,26,0.01666669999999998,-9.735830977948888,327.6335758359065
